mode_index,freq_cm-1,dx_a0,dy_a0,dz_a0,dx_a1,dy_a1,dz_a1,dx_a2,dy_a2,dz_a2,dx_a3,dy_a3,dz_a3,dx_a4,dy_a4,dz_a4,dx_a5,dy_a5,dz_a5
0,3511.396487,3.9457008824683726e-05,0.00027931411750614643,0.009782223962247372,0.0002253202983411029,-0.0007071112049743533,0.010229748673737049,0.0008088687318377197,-0.0003623815136961639,0.009786377660930157,0.16285362839698792,-0.24134919047355652,0.9537953734397888,-0.01292528584599495,0.018703661859035492,-0.06847245246171951,-3.3226959203602746e-05,6.23005471425131e-05,0.0008815526962280273
1,1338.982675,-0.34864506125450134,0.5783169269561768,-0.5074597597122192,-0.3294094204902649,-0.02595878392457962,-0.2329413741827011,0.16094385087490082,0.23583349585533142,-0.20238249003887177,-0.0032929142471402884,0.004278652369976044,-0.0037598428316414356,0.0005116885295137763,0.0013275418896228075,-0.013060773722827435,0.009914347901940346,-0.015462556853890419,-0.001541169360280037
2,1202.637207,0.24188579618930817,-0.37102484703063965,0.2588402330875397,-0.6888193488121033,0.06862349808216095,-0.3130626380443573,0.1077713593840599,0.3593894839286804,-0.13705357909202576,-0.002901066094636917,-0.004873190075159073,0.0008738272008486092,8.116973185678944e-05,-0.0025393099058419466,-0.001685524475760758,0.005342170596122742,0.00231784675270319,-0.002969208639115095
3,1165.84095,0.015870248898863792,-0.11066637188196182,0.036723144352436066,0.44165322184562683,0.05040319263935089,0.2381058633327484,0.4059617817401886,0.686733603477478,-0.3074580430984497,0.016851849853992462,0.01012992300093174,-0.0010388616938143969,0.006152392365038395,0.005151363555341959,-0.0005940734408795834,-0.018062492832541466,-0.011874311603605747,-0.001357882167212665
4,1026.90691,-0.12174493074417114,0.24089275300502777,0.5004345178604126,0.27996718883514404,0.11225329339504242,-0.5268527865409851,-0.1985607147216797,-0.10390958189964294,-0.5077844858169556,0.004052259493619204,0.001132911304011941,0.0047097885981202126,0.003973195794969797,-0.004179361741989851,-0.0022638209629803896,-0.0015062115853652358,0.00015112155233509839,0.0029353611171245575
5,951.70323,-0.15691615641117096,-0.05947493016719818,0.04902036860585213,-0.3027208149433136,-0.08612720668315887,0.6135666966438293,-0.2571946978569031,-0.1718352735042572,-0.6292344331741333,-0.037931036204099655,-0.016671277582645416,0.0010337684070691466,-0.020206846296787262,-0.009802662767469883,0.0003818696131929755,-0.00739154452458024,-0.00499352440237999,-0.0008977461839094758
6,902.030518,0.23165224492549896,-0.46258488297462463,-0.6191169023513794,0.19280678033828735,-0.08566012233495712,-0.3211921751499176,-0.042209066450595856,-0.19961963593959808,-0.38851669430732727,0.040459129959344864,-0.07584602385759354,-0.013428562320768833,0.012358983978629112,-0.020709121599793434,-0.0070523954927921295,-0.0011975960806012154,0.00011562996223801747,0.02434423752129078
7,389.279706,-0.7825894355773926,-0.44876381754875183,0.03138427063822746,0.030577542260289192,0.26770588755607605,-0.042245667427778244,0.30075934529304504,-0.12959323823451996,0.02393299713730812,0.026180699467658997,0.0004885378875769675,-0.004026151727885008,-0.025552887469530106,-0.013806551694869995,0.0012684842804446816,0.030879663303494453,0.021589946001768112,-0.0018952268874272704
8,365.204635,-0.04877949133515358,0.14959540963172913,0.1406736820936203,-0.11381270736455917,-0.6732617616653442,-0.04896817356348038,0.6038662195205688,-0.23287060856819153,-0.08495786786079407,-0.14100036025047302,0.14701154828071594,0.03961696848273277,0.051021188497543335,-0.06473188102245331,-0.0433836430311203,-0.0511620007455349,0.07823699712753296,0.01555953361093998
9,136.672063,-0.1103781908750534,0.0352274551987648,-0.027218187227845192,-0.04840879887342453,0.4621880352497101,0.10953861474990845,-0.3849513828754425,0.283901184797287,0.1477726250886917,-0.4351421296596527,0.521449089050293,0.1479477733373642,0.06912606209516525,-0.06861362606287003,-0.07374516874551773,-0.008515906520187855,0.01468100119382143,0.09429596364498138
