mode_index,freq_cm-1,dx_a0,dy_a0,dz_a0,dx_a1,dy_a1,dz_a1,dx_a2,dy_a2,dz_a2,dx_a3,dy_a3,dz_a3,dx_a4,dy_a4,dz_a4,dx_a5,dy_a5,dz_a5
0,3543.601093,0.003228398272767663,0.0036341531667858362,-0.001076132757589221,0.0024231148418039083,0.004144719801843166,-0.00031132096773944795,0.002896322635933757,0.004288964904844761,0.003520002355799079,0.5476758480072021,0.832401692867279,0.04410276189446449,-0.040162477642297745,-0.0589735321700573,-0.0059576453641057014,-1.7641521480982192e-05,-1.4528311112371739e-05,-0.00012349063763394952
1,1487.171935,0.16447773575782776,-0.26597046852111816,-0.045787982642650604,-0.3985614478588104,-0.0014222149038687348,-0.05900459736585617,-0.40960195660591125,-0.7327514290809631,-0.17903505265712738,-0.0031908145174384117,-0.0034791287034749985,0.019317060708999634,-0.0036920534912496805,-0.006717825774103403,-0.014591965824365616,0.0100655322894454,0.015811443328857422,-0.0022484443616122007
2,1428.976483,-0.20610836148262024,0.4178982377052307,-0.023464005440473557,0.7202447652816772,0.04110832139849663,0.010708150453865528,-0.24720565974712372,-0.4466552436351776,-0.031037013977766037,0.0009732861653901637,-0.001399849890731275,0.012574616819620132,0.0025343489833176136,-0.0016732111107558012,-0.0011965811718255281,-0.0036478203255683184,0.0008871723548509181,0.0034805992618203163
3,1406.396072,0.47836896777153015,-0.674593985080719,0.04741460084915161,0.5548191070556641,-0.05313393473625183,0.0021282422821968794,0.03327067941427231,0.0315193235874176,-0.008056845515966415,0.01943253166973591,-0.013115866109728813,-0.0025731923524290323,0.010188136249780655,-0.006856089923530817,-0.0007629165193066001,-0.014883474446833134,0.00948718748986721,-0.0012078664731234312
4,805.156233,-0.20471130311489105,-0.15672677755355835,-0.8485754728317261,-0.004428092855960131,-0.01921679452061653,0.38302746415138245,-0.15469694137573242,0.08277814090251923,0.18487364053726196,-0.02227284386754036,0.015633270144462585,0.006461013108491898,-0.005415305960923433,0.004634360782802105,0.002403381746262312,-0.01802433840930462,0.01493955310434103,0.001533156493678689
5,753.168919,0.2685704231262207,0.17046338319778442,0.09418976306915283,-0.03029717318713665,0.37182584404945374,0.6094669103622437,-0.10022274404764175,0.1401258260011673,-0.590753972530365,-0.01011286024004221,0.010806641541421413,0.006516704801470041,-0.0024075352121144533,0.007719462737441063,-0.012061912566423416,-0.011328745633363724,-0.002768059493973851,0.0062985727563500404
6,619.321187,0.16874286532402039,0.09382166713476181,-0.4746817946434021,0.03068668767809868,0.19206346571445465,-0.6586984395980835,0.12493151426315308,0.09241652488708496,-0.4489315152168274,0.0159223061054945,0.03568404167890549,0.17503611743450165,0.02793963812291622,0.03667523339390755,-0.05610579997301102,-0.0007704155868850648,-0.0076202149502933025,0.0500195175409317
7,573.37112,0.2779092490673065,0.16412174701690674,-0.01064675860106945,0.025340110063552856,-0.3917132318019867,-0.09657043218612671,-0.7448509931564331,0.41874611377716064,0.016729004681110382,-0.027038032189011574,0.016750626266002655,-0.005333676468580961,-0.013496878556907177,0.007393010891973972,0.0024320741649717093,0.022377759218215942,-0.00970770325511694,0.0009514125413261354
8,403.747651,-0.5044304728507996,-0.1899186670780182,0.09820608794689178,0.1103963702917099,-0.49764347076416016,0.06255418062210083,0.12802977859973907,0.15173839032649994,-0.6116650104522705,-0.02233821526169777,-0.019151216372847557,-0.10526662319898605,-0.014306975528597832,-0.035230960696935654,0.03976977989077568,0.04059839993715286,0.07294247299432755,0.024359306320548058
9,224.974523,-0.2637881338596344,-0.16150569915771484,0.25735029578208923,-0.024034252390265465,-0.36334243416786194,0.2881340980529785,-0.03320537135004997,-0.030441153794527054,0.08740255236625671,-0.0015778959495946765,-0.0414426289498806,0.7603359222412109,0.003405679250136018,0.009596182964742184,-0.17557665705680847,-0.016920197755098343,-0.020767686888575554,0.03658271208405495
