bond,elem_pair,bo_gas,bo_Cu,dBO_Cu,label_Cu,bo_Ni,dBO_Ni,label_Ni
O4-Mo5,O-Mo,1.0086,1.1028,0.09420000000000006,Strengthened,1.0639,0.05530000000000013,Strengthened
H3-O4,H-O,0.8738,0.7738,-0.09999999999999998,Activated,0.7459,-0.1279,Activated
H0-Mo5,H-Mo,0.8523,0.5357,-0.3166,Activated,0.4184,-0.43389999999999995,Activated
H1-Mo5,H-Mo,0.8272,0.5627,-0.26450000000000007,Activated,0.4625,-0.3647,Activated
H2-Mo5,H-Mo,0.8258,0.5613,-0.26449999999999996,Activated,0.462,-0.36379999999999996,Activated
